Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 17 Enplanements,CY 16 Enplanements,% Change
97,SO,NC,GSO,Greensboro,Piedmont Triad International,P,S,"881,024","848,261",3.86%
98,SO,FL,PNS,Pensacola,Pensacola International,P,S,"839,248","792,916",5.84%
99,NM,CO,COS,Colorado Springs,City of Colorado Springs Municipal,P,S,"815,839","657,694",24.05%
100,CE,KS,ICT,Wichita,Wichita Dwight D Eisenhower National,P,S,"789,533","781,944",0.97%
101,EA,NY,HPN,White Plains,Westchester County,P,S,"759,334","766,170",-0.89%
102,WP,CA,FAT,Fresno,Fresno Yosemite International,P,S,"755,140","761,298",-0.81%
103,WP,AZ,IWA,Mesa,Phoenix-Mesa Gateway,P,S,"704,247","705,731",-0.21%
104,SW,AR,XNA,Bentonville,Northwest Arkansas Regional,P,S,"698,257","673,810",3.63%
105,WP,MP,GSN,Saipan,Francisco C Ada/Saipan International,P,S,"685,642","430,275",59.35%
106,WP,HI,ITO,Hilo,Hilo International,P,S,"664,790","640,757",3.75%
107,EA,NY,ISP,Islip,Long Island MacArthur,P,S,"648,593","597,133",8.62%
108,SO,FL,PGD,Punta Gorda,Punta Gorda,P,S,"643,563","558,482",15.23%
109,SO,KY,LEX,Lexington,Blue Grass,P,S,"637,301","638,316",-0.16%
110,SO,VI,STT,Charlotte Amalie,Cyril E King,P,S,"619,729","729,382",-15.03%
111,GL,OH,CAK,Akron,Akron-Canton Regional,P,S,"619,321","685,553",-9.66%
112,NM,MT,BZN,Bozeman,Bozeman Yellowstone International,P,S,"598,712","553,245",8.22%
113,SO,FL,SRQ,Sarasota,Sarasota/Bradenton International,P,S,"590,941","589,860",0.18%
114,EA,PA,MDT,Harrisburg,Harrisburg International,P,S,"582,291","589,511",-1.22%
115,NE,VT,BTV,Burlington,Burlington International,P,S,"578,014","593,311",-2.58%
116,CE,IA,CID,Cedar Rapids,The Eastern Iowa,P,S,"574,636","547,786",4.90%
117,SO,FL,VPS,Valparaiso,Eglin AFB/Destin-Ft Walton Beach,P,S,"567,633","440,002",29.01%
118,EA,NJ,ACY,Atlantic City,Atlantic City International,P,S,"552,690","589,091",-6.18%
119,AL,AK,FAI,Fairbanks,Fairbanks International,P,S,"543,839","538,881",0.92%
120,GL,SD,FSD,Sioux Falls,Joe Foss Field,P,S,"540,877","510,105",6.03%
121,NM,OR,EUG,Eugene,Mahlon Sweet Field,P,S,"529,149","483,224",9.50%
122,SO,AL,HSV,Huntsville,Huntsville International-Carl T Jones Field,P,S,"519,003","527,801",-1.67%
123,SW,TX,MAF,Midland,Midland International Air And Space Port,P,S,"516,983","471,490",9.65%
124,SO,SC,CAE,Columbia,Columbia Metropolitan,P,S,"510,188","553,658",-7.85%
125,CE,MO,SGF,Springfield,Springfield-Branson National,P,S,"483,259","462,126",4.57%
126,SO,TN,CHA,Chattanooga,Lovell Field,P,S,"482,113","422,442",14.13%
127,SO,NC,AVL,Asheville,Asheville Regional,P,S,"478,061","416,939",14.66%
128,SO,MS,JAN,Jackson,Jackson-Medgar Wiley Evers International,P,S,"462,655","491,464",-5.86%
129,SW,TX,LBB,Lubbock,Lubbock Preston Smith International,P,S,"460,236","448,093",2.71%
130,SO,FL,ECP,Panama City,Northwest Florida Beaches International,P,S,"454,712","434,302",4.70%
131,NM,OR,MFR,Medford,Rogue Valley International - Medford,P,S,"440,506","401,469",9.72%
,,,70,,Small Hubs,,,,,9.72%
132,SO,NC,ILM,Wilmington,Wilmington International,P,N,"422,553","413,185",2.27%
133,AL,AK,JNU,Juneau,Juneau International,P,N,"422,266","420,442",0.43%
134,NM,MT,BIL,Billings,Billings Logan International,P,N,"415,093","423,213",-1.92%
135,GL,ND,FAR,Fargo,Hector International,P,N,"404,937","402,976",0.49%
136,GL,MI,FNT,Flint,Bishop International,P,N,"393,549","398,508",-1.24%
137,SO,FL,EYW,Key West,Key West International,P,N,"392,381","380,505",3.12%
138,NM,MT,MSO,Missoula,Missoula International,P,N,"387,976","381,582",1.68%
139,SW,LA,BTR,Baton Rouge,"Baton Rouge Metropolitan, Ryan Field",P,N,"377,670","364,200",3.70%
140,NM,WA,PSC,Pasco,Tri-Cities,P,N,"376,044","374,301",0.47%
141,NM,WA,BLI,Bellingham,Bellingham International,P,N,"370,022","415,285",-10.90%
142,NM,OR,RDM,Redmond,Roberts Field,P,N,"364,921","306,517",19.05%
143,EA,NJ,TTN,Trenton,Trenton Mercer,P,N,"363,654","278,436",30.61%
144,GL,IN,FWA,Fort Wayne,Fort Wayne International,P,N,"359,658","360,369",-0.20%
145,WP,CA,SBA,Santa Barbara,Santa Barbara Municipal,P,N,"356,608","329,751",8.14%
146,SO,FL,TLH,Tallahassee,Tallahassee International,P,N,"350,174","345,404",1.38%
147,SO,FL,DAB,Daytona Beach,Daytona Beach International,P,N,"346,470","342,495",1.16%
148,NM,WY,JAC,Jackson,Jackson Hole,P,N,"341,662","342,044",-0.11%
149,SW,TX,MFE,McAllen,McAllen Miller International,P,N,"336,431","355,224",-5.29%
150,WP,AZ,GCN,Grand Canyon,Grand Canyon National Park,P,N,"336,255","319,206",5.34%
151,GL,IL,MLI,Moline,Quad City International,P,N,"335,940","364,393",-7.81%
152,SW,TX,AMA,Amarillo,Rick Husband Amarillo International,P,N,"334,563","334,815",-0.08%
153,EA,VA,CHO,Charlottesville-Albemarle Airport,Charlottesville-Albemarle,P,N,"334,347","295,930",12.98%
154,EA,PA,ABE,Allentown,Lehigh Valley International,P,N,"328,914","324,511",1.36%
155,SO,MS,GPT,Gulfport,Gulfport-Biloxi International,P,N,"324,611","305,157",6.38%
156,SW,TX,CRP,Corpus Christi,Corpus Christi International,P,N,"320,263","325,815",-1.70%
157,GL,IL,PIA,Peoria,General Downing - Peoria International,P,N,"312,378","307,189",1.69%
158,EA,VA,ROA,Roanoke,Roanoke-Blacksburg Regional/Woodrum Field,P,N,"309,341","305,212",1.35%
159,GL,IN,SBN,South Bend,South Bend International,P,N,"307,471","329,957",-6.81%
160,NE,ME,BGR,Bangor,Bangor International,P,N,"302,224","269,013",12.35%
161,SO,GA,AGS,Augusta,Augusta Regional at Bush Field,P,N,"288,834","270,797",6.66%
162,SO,AL,MOB,Mobile,Mobile Regional,P,N,"288,222","288,209",0.00%
163,GL,SD,RAP,Rapid City,Rapid City Regional,P,N,"286,567","272,537",5.15%
164,GL,WI,GRB,Green Bay,Green Bay-Austin Straubel International,P,N,"283,823","292,868",-3.09%
165,GL,WI,ATW,Appleton,Appleton International,P,N,"281,552","270,633",4.03%
166,GL,ND,BIS,Bismarck,Bismarck Municipal,P,N,"275,098","273,980",0.41%
167,SW,TX,HRL,Harlingen,Valley International,P,N,"273,070","263,760",3.53%
168,NM,MT,GPI,Kalispell,Glacier Park International,P,N,"272,279","247,816",9.87%
169,SW,LA,SHV,Shreveport,Shreveport Regional,P,N,"267,646","270,395",-1.02%
170,EA,PA,AVP,Avoca,Wilkes-Barre/Scranton International,P,N,"261,572","232,855",12.33%
171,WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,"258,038","128,739",100.43%
172,SO,PR,BQN,Aguadilla,Rafael Hernandez,P,N,"252,693","257,871",-2.01%
173,NM,CO,ASE,Aspen,Aspen-Pitkin County/Sardy Field,P,N,"244,808","254,392",-3.77%
174,SO,NC,FAY,Fayetteville,Fayetteville Regional/Grannis Field,P,N,"238,568","224,541",6.25%
175,GL,MI,TVC,Traverse City,Cherry Capital,P,N,"235,137","223,924",5.01%
176,EA,NY,SWF,Newburgh,Stewart International,P,N,"228,640","140,328",62.93%
177,NM,CO,GJT,Grand Junction,Grand Junction Regional,P,N,"223,452","218,319",2.35%
178,SO,FL,MLB,Melbourne,Melbourne International,P,N,"221,928","220,360",0.71%
179,WP,NV,BVU,Boulder City,Boulder City Municipal,P,N,"220,980","211,615",4.43%
180,SO,FL,GNV,Gainesville,Gainesville Regional,P,N,"218,578","206,330",5.94%
181,GL,IN,EVV,Evansville,Evansville Regional,P,N,"213,205","204,352",4.33%
182,EA,WV,CRW,Charleston,Yeager,P,N,"202,778","213,412",-4.98%
183,SW,LA,LFT,Lafayette,Lafayette Regional/Paul Fournet Field,P,N,"202,640","206,667",-1.95%
184,EA,VA,PHF,Newport News,Newport News/Williamsburg International,P,N,"197,994","199,421",-0.72%
185,WP,CA,SBP,San Luis Obispo,San Luis County Regional,P,N,"197,594","162,719",21.43%
186,WP,CA,MRY,Monterey,Monterey Regional,P,N,"197,099","192,136",2.58%
187,GL,MI,LAN,Clinton (Township of),Capital Region International,P,N,"196,617","161,863",21.47%
188,SO,VI,STX,Christiansted,Henry E Rohlsen,P,N,"195,634","196,047",-0.21%
189,WP,CA,STS,Santa Rosa,Charles M Schulz - Sonoma County,P,N,"195,296","167,151",16.84%
190,SO,TN,TRI,Bristol/Johnson/Kingsport,Tri-Cities,P,N,"193,068","204,926",-5.79%
191,NM,CO,DRO,Durango,Durango-La Plata County,P,N,"186,917","187,789",-0.46%
192,NM,MT,GTF,Great Falls,Great Falls International,P,N,"171,049","176,730",-3.21%
193,GL,IL,BMI,Bloomington-Normal Airport,Central IL Regional Airport at Bloomington-Normal,P,N,"163,475","188,490",-13.27%
194,SW,LA,AEX,Alexandria,Alexandria International,P,N,"156,145","129,776",20.32%
195,SO,NC,OAJ,Jacksonville,Albert J Ellis,P,N,"155,342","149,987",3.57%
196,SW,TX,GRK,Killeen,Robert Gray AAF,P,N,"154,951","157,161",-1.41%
197,NM,CO,EGE,Eagle,Eagle County Regional,P,N,"154,577","163,840",-5.65%
198,CE,NE,LNK,Lincoln,Lincoln,P,N,"154,465","162,876",-5.16%
199,SO,AL,MGM,Montgomery,Montgomery Regional (Dannelly Field),P,N,"152,773","173,210",-11.80%
200,EA,PA,LBE,Latrobe,Arnold Palmer Regional,P,N,"151,207","146,127",3.48%
201,NM,ID,IDA,Idaho Falls,Idaho Falls Regional,P,N,"147,729","146,213",1.04%
202,AL,AK,BET,Bethel,Bethel,P,N,"146,652","155,791",-5.87%
203,GL,MI,AZO,Kalamazoo,Kalamazoo/Battle Creek International,P,N,"146,314","154,242",-5.14%
204,GL,MN,RST,Rochester,Rochester International,P,N,"143,675","112,864",27.30%
205,EA,NY,IAG,Niagara Falls,Niagara Falls International,P,N,"142,605","126,028",13.15%
206,GL,ND,MOT,Minot,Minot International,P,N,"141,161","150,634",-6.29%
207,EA,NY,PBG,Plattsburgh,Plattsburgh International,P,N,"139,398","129,622",7.54%
208,EA,PA,UNV,State College,University Park,P,N,"138,423","134,312",3.06%
209,GL,OH,LCK,Columbus,Rickenbacker International,P,N,"133,649","102,751",30.07%
210,AL,AK,KTN,Ketchikan,Ketchikan International,P,N,"131,144","127,881",2.55%
211,WP,AZ,IFP,Bullhead City,Laughlin/Bullhead International,P,N,"129,949","109,334",18.86%
212,SO,NC,JQF,Concord,Concord Regional,P,N,"129,034","90,338",42.83%
213,EA,NY,ELM,Elmira,Elmira/Corning Regional,P,N,"126,472","139,583",-9.39%
214,GL,IL,BLV,Belleville,Scott AFB/Midamerica,P,N,"123,841","79,988",54.82%
215,NM,CO,MTJ,Montrose,Montrose Regional,P,N,"123,206","116,272",5.96%
216,GL,MN,DLH,Duluth,Duluth International,P,N,"122,726","124,284",-1.25%
217,GL,ND,GFK,Grand Forks,Grand Forks International,P,N,"117,520","132,557",-11.34%
218,GL,WI,CWA,Mosinee,Central Wisconsin,P,N,"116,404","119,222",-2.36%
219,SW,TX,BRO,Brownsville,Brownsville/South Padre Island International,P,N,"116,197","120,151",-3.29%
220,NE,MA,ACK,Nantucket,Nantucket Memorial,P,N,"113,009","126,197",-10.45%
221,GL,IL,RFD,Rockford,Chicago/Rockford International,P,N,"112,862","101,790",10.88%
222,SO,NC,EWN,New Bern,Coastal Carolina Regional,P,N,"111,147","106,110",4.75%
223,GL,MI,MBS,Saginaw,MBS International,P,N,"110,964","122,469",-9.39%
224,NE,NH,PSM,Portsmouth,Portsmouth International at Pease,P,N,"105,077","73,247",43.46%
225,NM,MT,HLN,Helena,Helena Regional,P,N,"103,773","103,239",0.52%
226,EA,WV,HTS,Huntington,Tri-State/Milton J Ferguson Field,P,N,"103,724","98,489",5.32%
227,SW,NM,SAF,Santa Fe,Santa Fe Municipal,P,N,"103,679","71,252",45.51%
228,NM,UT,SGU,St. George,St George Regional,P,N,"103,569","78,680",31.63%
229,SW,LA,MLU,Monroe,Monroe Regional,P,N,"103,547","102,342",1.18%
230,GL,OH,TOL,Toledo,Toledo Express,P,N,"102,988","92,522",11.31%
231,GL,IL,CMI,Savoy,University of Illinois-Willard,P,N,"100,133","89,318",12.11%
232,WP,CA,BFL,Bakersfield,Meadows Field,P,N,"99,472","100,433",-0.96%
233,EA,NY,ITH,Ithaca,Ithaca Tompkins Regional,P,N,"97,212","88,692",9.61%
234,NM,WY,CPR,Casper,Casper/Natrona County International,P,N,"96,843","92,805",4.35%
235,NM,CO,HDN,Hayden,Yampa Valley,P,N,"96,403","107,339",-10.19%
236,WP,CA,SCK,Stockton,Stockton Metropolitan,P,N,"96,201","93,076",3.36%
237,AL,AK,ENA,Kenai,Kenai Municipal,P,N,"92,973","92,485",0.53%
238,GL,WI,LSE,La Crosse,La Crosse Regional,P,N,"92,101","94,047",-2.07%
239,GL,IL,SPI,Springfield,Abraham Lincoln Capital,P,N,"92,048","93,269",-1.31%
240,NM,UT,PVU,Provo,Provo Municipal,P,N,"91,581","78,451",16.74%
241,SW,TX,LRD,Laredo,Laredo International,P,N,"91,462","101,115",-9.55%
242,SO,PR,PSE,Ponce,Mercedita,P,N,"89,334","105,804",-15.57%
243,CE,MO,COU,Columbia,Columbia Regional,P,N,"88,650","65,014",36.36%
244,NM,ID,SUN,Hailey,Friedman Memorial,P,N,"86,641","77,729",11.47%
245,SW,AR,FSM,Fort Smith,Fort Smith Regional,P,N,"85,726","83,920",2.15%
246,EA,PA,ERI,Erie,Erie International/Tom Ridge Field,P,N,"85,631","87,647",-2.30%
247,SW,TX,ABI,Abilene,Abilene Regional,P,N,"85,085","84,809",0.33%
248,WP,HI,MKK,Kaunakakai,Molokai,P,N,"84,139","92,560",-9.10%
249,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,"83,598","83,404",0.23%
250,AL,AK,ADQ,Kodiak,Kodiak,P,N,"83,577","79,682",4.89%
251,EA,VA,LYH,Timberlake,Lynchburg Regional/Preston Glenn Field,P,N,"82,489","75,465",9.31%
252,WP,AZ,NYL,Yuma,Yuma MCAS/Yuma International,P,N,"79,564","74,742",6.45%
253,NM,ID,LWS,Lewiston,Lewiston-Nez Perce County,P,N,"76,729","72,724",5.51%
254,SW,TX,CLL,College Station,Easterwood Field,P,N,"73,430","78,907",-6.94%
255,NM,WA,YKM,Yakima,Yakima Air Terminal/McAllister Field,P,N,"71,547","70,993",0.78%
256,WP,AS,PPG,Pago Pago,Pago Pago International,P,N,"71,401","65,439",9.11%
257,WP,AZ,FLG,Flagstaff,Flagstaff Pulliam,P,N,"70,710","64,578",9.50%
258,GL,ND,ISN,Williston,Sloulin Field International,P,N,"69,802","68,829",1.41%
259,CE,KS,MHK,Manhattan,Manhattan Regional,P,N,"68,791","63,761",7.89%
260,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,"67,951","64,481",5.38%
261,CE,NE,GRI,Grand Island,Central Nebraska Regional,P,N,"66,842","68,879",-2.96%
262,WP,CA,ACV,Arcata,California Redwood Coast-Humboldt County,P,N,"65,932","69,732",-5.45%
263,AL,AK,OME,Nome,Nome,P,N,"61,651","60,655",1.64%
264,NM,WA,EAT,East Wenatchee,Pangborn Memorial,P,N,"60,335","60,068",0.44%
265,NM,WA,PUW,Pullman,Pullman/Moscow Regional,P,N,"59,246","61,833",-4.18%
266,SW,TX,SJT,San Angelo,San Angelo Regional/Mathis Field,P,N,"59,206","60,277",-1.78%
267,SW,TX,ACT,Waco,Waco Regional,P,N,"58,888","64,356",-8.50%
268,EA,MD,SBY,Salisbury,Salisbury-Ocean City Wicomico Regional,P,N,"57,421","58,695",-2.17%
270,SW,NM,ROW,Roswell,Roswell International Air Center,P,N,"55,211","44,378",24.41%
271,NE,MA,ORH,Worcester,Worcester Regional,P,N,"53,931","57,800",-6.69%
272,SO,NC,PGV,Greenville,Pitt-Greenville,P,N,"51,966","47,457",9.50%
273,SW,OK,LAW,Lawton,Lawton-Fort Sill Regional,P,N,"50,939","51,088",-0.29%
274,GL,MI,SAW,Gwinn,Sawyer International,P,N,"50,938","45,462",12.05%
275,SW,LA,LCH,Lake Charles,Lake Charles Regional,P,N,"50,899","53,576",-5.00%
276,SO,PR,VQS,Vieques,Antonio Rivera Rodriguez,P,N,"50,510","63,104",-19.96%
277,SO,GA,CSG,Columbus,Columbus,P,N,"49,773","44,813",11.07%
278,NE,MA,MVY,Vineyard Haven,Martha's Vineyard,P,N,"49,767","54,084",-7.98%
279,NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,"49,702","47,439",4.77%
280,SW,TX,TYR,Tyler,Tyler Pounds Regional,P,N,"49,653","52,494",-5.41%
282,SO,AL,DHN,Dothan,Dothan Regional,P,N,"47,304","49,411",-4.26%
283,AL,AK,HOM,Homer,Homer,P,N,"46,322","44,117",5.00%
284,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,"45,958","45,300",1.45%
285,NM,ID,TWF,Twin Falls,Joslin Field - Magic Valley Regional,P,N,"45,736","38,869",17.67%
286,SO,GA,VLD,Valdosta,Valdosta Regional,P,N,"43,738","40,275",8.60%
288,WP,CA,RDD,Redding,Redding Municipal,P,N,"42,361","43,414",-2.43%
289,SO,SC,FLO,Florence,Florence Regional,P,N,"42,058","45,300",-7.16%
290,AL,AK,SCC,Deadhorse,Deadhorse,P,N,"41,849","51,205",-18.27%
291,CE,IA,SUX,Sioux City,Sioux Gateway/Col Bud Day Field,P,N,"41,787","36,413",14.76%
292,SO,MS,GTR,Columbus,Golden Triangle Regional,P,N,"41,632","40,823",1.98%
293,CE,IA,DBQ,Dubuque,Dubuque Regional,P,N,"40,324","37,954",6.24%
