Rank,Region Operation,State,Locid,City,Airport Name,S/L,Hub,CY 17 Enplanements,CY 16 Enplanements,% Change
663,Alaskan,Alaska,ANV,Anvik,Anvik,GA,None,862,824,4.61%
664,Alaskan,Alaska,GBH,Nome (Census Area),Galbraith Lake,GA,None,856,777,10.17%
668,Alaskan,Alaska,JZZ,Bristol Bay (Borough),Koliganek,GA,None,820,687,19.36%
672,Alaskan,Alaska,KGX,Grayling,Grayling,GA,None,800,869,-7.94%
674,Alaskan,Alaska,WBQ,Beaver,Beaver,GA,None,795,767,3.65%
680,Alaskan,Alaska,TKE,Tenakee Springs,Tenakee,GA,None,735,728,0.96%
682,Alaskan,Alaska,CIK,Chalkyitsik,Chalkyitsik,GA,None,719,744,-3.36%
684,Alaskan,Alaska,AJC,Chignik,Chignik,GA,None,698,663,5.28%
685,Alaskan,Alaska,FSP,Nikolai,Nikolai,GA,None,690,336,105.36%
688,Alaskan,Alaska,PTH,Port Heiden,Port Heiden,GA,None,657,828,-20.65%
690,Alaskan,Alaska,PPC,Yukon-Koyukuk (Census Area),Prospect Creek,GA,None,641,724,-11.46%
692,Alaskan,Alaska,RMP,Rampart,Rampart,GA,None,621,561,10.70%
694,Alaskan,Alaska,A43,Taku Harbor,Taku Harbor,GA,None,614,21,2823.81%
699,Alaskan,Alaska,FBK,Fairbanks/Ft Wainwright,Ladd AAF,GA,None,596,251,137.45%
703,Alaskan,Alaska,SHX,Shageluk,Shageluk,GA,None,583,622,-6.27%
704,Alaskan,Alaska,ELV,Elfin Cove,Elfin Cove,GA,None,578,608,-4.93%
705,Alaskan,Alaska,IGG,Bristol Bay (Borough),Igiugig,GA,None,567,612,-7.35%
706,Alaskan,Alaska,MBA,Bristol Bay (Borough),Manokotak,GA,None,561,7293,-92.31%
707,Alaskan,Alaska,PNP,Pilot Point,Pilot Point,GA,None,561,499,12.42%
708,Alaskan,Alaska,PEV,Perryville,Perryville,GA,None,560,636,-11.95%
712,Alaskan,Alaska,EAA,Eagle,Eagle,GA,None,519,523,-0.76%
713,Alaskan,Alaska,4K0,Bristol Bay (Borough),Pedro Bay,GA,None,516,570,-9.47%
714,Alaskan,Alaska,7KA,Matanuska-Susitna (Borough),Tatitlek,GA,None,505,2,25150.00%
719,Alaskan,Alaska,KEK,Ekwok,Ekwok,GA,None,469,388,20.88%
724,Alaskan,Alaska,PBV,St. George,St George,GA,None,439,519,-15.41%
725,Alaskan,Alaska,KCL,Chignik Flats,Chignik Lagoon,GA,None,437,492,-11.18%
728,Alaskan,Alaska,SVS,Stevens Village,Stevens Village,GA,None,416,274,51.82%
729,Alaskan,Alaska,TCT,Takotna,Takotna,GA,None,402,240,67.50%
731,Alaskan,Alaska,CJX,Crooked Creek,Crooked Creek,GA,None,389,374,4.01%
732,Alaskan,Alaska,KYK,Karluk,Karluk,GA,None,384,286,34.27%
741,Alaskan,Alaska,C05,Seward (County),Chenega Bay,GA,None,359,0,0.00%
744,Alaskan,Alaska,6K8,Tok,Tok Junction,GA,None,346,419,-17.42%
746,Alaskan,Alaska,PTU,Platinum,Platinum,GA,None,346,509,-32.02%
747,Alaskan,Alaska,KFP,False Pass,False Pass,GA,None,339,357,-5.04%
748,Alaskan,Alaska,SLQ,Sleetmute,Sleetmute,GA,None,339,278,21.94%
750,Alaskan,Alaska,OUL,Nelson Lagoon,Nelson Lagoon,GA,None,338,453,-25.39%
755,Alaskan,Alaska,Z91,Birch Creek,Birch Creek,GA,None,309,261,18.39%
757,Alaskan,Alaska,EXI,Skagway-Yakutat-Angoon (Census Area),Excursion Inlet,GA,None,304,539,-43.60%
760,Alaskan,Alaska,CRC,Circle,Circle City,GA,None,287,252,13.89%
765,Alaskan,Alaska,A79,Chignik Lake,Chignik Lake,GA,None,277,261,6.13%
768,Alaskan,Alaska,9A3,Chuathbaluk,Chuathbaluk,GA,None,265,266,-0.38%
770,Alaskan,Alaska,AKA,Atka,Atka,GA,None,264,357,-26.05%
775,Alaskan,Alaska,9Z8,Levelock,Levelock,GA,None,240,218,10.09%
777,Alaskan,Alaska,LUR,Cape Lisburne,Cape Lisburne LRRS,GA,None,237,154,53.90%
780,Alaskan,Alaska,51Z,Minto,Minto Al Wright,GA,None,201,158,27.22%
781,Alaskan,Alaska,CLP,Clarks Point,Clarks Point,GA,None,197,405,-51.36%
784,Alaskan,Alaska,MHM,Lake Minchumina,Minchumina,GA,None,190,185,2.70%
790,Alaskan,Alaska,SKW,Skwentna,Skwentna,GA,None,171,107,59.81%
803,Alaskan,Alaska,1AK3,Cold Bay,Port Moller,GA,None,141,199,-29.15%
804,Alaskan,Alaska,Z78,Chignik,Chignik Bay,GA,None,137,317,-56.78%
808,Alaskan,Alaska,IKO,Nikolski,Nikolski AS,GA,None,131,154,-14.94%
811,Alaskan,Alaska,9A8,Kodiak Island (Borough),Ugashik,GA,None,129,134,-3.73%
812,Alaskan,Alaska,DCK,Dahl Creek,Dahl Creek,GA,None,128,156,-17.95%
813,Alaskan,Alaska,KCC,Coffman Cove,Coffman Cove,GA,None,127,86,47.67%
825,Alaskan,Alaska,A63,Aniak (Census Subarea),Twin Hills,GA,None,110,104,5.77%
828,Alaskan,Alaska,ALZ,Lazy Bay,Alitak,GA,None,106,129,-17.83%
831,Alaskan,Alaska,MLY,Manley Hot Springs,Manley Hot Springs,GA,None,101,104,-2.88%
833,Alaskan,Alaska,84K,Meyers Chuck,Meyers Chuck,GA,None,99,184,-46.20%
838,Alaskan,Alaska,4Z7,Hyder,Hyder,GA,None,89,146,-39.04%
844,Alaskan,Alaska,WSN,South Naknek,South Naknek Nr 2,GA,None,79,91,-13.19%
845,Alaskan,Alaska,CZN,Chisana,Chisana,GA,None,74,97,-23.71%
848,Alaskan,Alaska,SRV,Stony River,Stony River 2,GA,None,73,85,-14.12%
853,Alaskan,Alaska,RDV,Red Devil,Red Devil,GA,None,68,44,54.55%
858,Alaskan,Alaska,HRR,Yukon-Koyukuk (Census Area),Healy River,GA,None,66,83,-20.48%
861,Alaskan,Alaska,UTO,Utopia Creek,Indian Mountain LRRS,GA,None,65,79,-17.72%
867,Alaskan,Alaska,CZF,Cape Romanzof,Cape Romanzof LRRS,GA,None,61,113,-46.02%
875,Alaskan,Alaska,EHM,Cape Newenham,Cape Newenham LRRS,GA,None,58,76,-23.68%
877,Alaskan,Alaska,TLJ,Takotna,Tatalina LRRS,GA,None,58,61,-4.92%
878,Alaskan,Alaska,96Z,North Whale Pass,Whale Pass Seaplane Float Harbor Facility,GA,None,57,88,-35.23%
880,Alaskan,Alaska,PAQ,Palmer,"Warren ""Bud"" Woods Palmer Municipal",GA,None,57,47,21.28%
881,Alaskan,Alaska,TSG,Tanacross,Tanacross,GA,None,57,0,0.00%
882,Alaskan,Alaska,UMT,Umiat,Umiat,GA,None,56,73,-23.29%
884,Alaskan,Alaska,19P,Port Protection,Port Protection,GA,None,53,76,-30.26%
888,Alaskan,Alaska,KWP,West Point,West Point Village,GA,None,51,74,-31.08%
892,Alaskan,Alaska,TNC,Tin City,Tin City LRRS,GA,None,49,100,-51.00%
904,Alaskan,Alaska,L20,Yukon Charley Rivers,Coal Creek,GA,None,41,36,13.89%
913,Alaskan,Alaska,WSJ,San Juan,San Juan /Uganik/,GA,None,39,13,200.00%
915,Alaskan,Alaska,KOY,Olga Bay,Olga Bay,GA,None,38,13,192.31%
919,Alaskan,Alaska,GSZ,Granite Mountain,Granite Mountain AS,GA,None,37,38,-2.63%
927,Alaskan,Alaska,KXA,Kasaan,Kasaan,GA,None,33,85,-61.18%
931,Alaskan,Alaska,KKB,Kitoi Bay,Kitoi Bay,GA,None,32,43,-25.58%
951,Alaskan,Alaska,SXQ,Soldotna,Soldotna,GA,None,28,39,-28.21%
957,Alaskan,Alaska,KPB,Point Baker,Point Baker,GA,None,26,23,13.04%
975,Alaskan,Alaska,HYG,Hydaburg,Hydaburg,GA,None,23,16,43.75%
977,Alaskan,Alaska,ZNC,Nyac,Nyac,GA,None,23,25,-8.00%
984,Alaskan,Alaska,KMY,Moser Bay,Moser Bay,GA,None,21,17,23.53%
987,Alaskan,Alaska,SYA,Shemya,Eareckson AS,GA,None,21,0,0.00%
988,Alaskan,Alaska,2K5,Telida,Telida,GA,None,20,9,122.22%
998,Alaskan,Alaska,2AK,Lime Village,Lime Village,GA,None,18,27,-33.33%
1005,Alaskan,Alaska,WCR,Chandalar,Chandalar Lake,GA,None,18,14,28.57%
1006,Alaskan,Alaska,5NK,Naknek,Naknek,GA,None,17,38,-55.26%
1017,Alaskan,Alaska,KPR,Port Williams,Port Williams,GA,None,16,38,-57.89%
1018,Alaskan,Alaska,KPY,Port Bailey,Port Bailey,GA,None,16,16,0.00%
1022,Alaskan,Alaska,2AK6,Hogatza,Hog River,GA,None,15,21,-28.57%
1034,Alaskan,Alaska,AK75,Candle,Candle 2,GA,None,14,20,-30.00%
1035,Alaskan,Alaska,CKX,Chicken,Chicken,GA,None,14,16,-12.50%
1049,Alaskan,Alaska,CEM,Central,Central,GA,None,12,13,-7.69%
1064,Alaskan,Alaska,5AK0,Trading Bay,Trading Bay Production,GA,None,11,19,-42.11%
1092,Alaskan,Alaska,INR,McKinley Park,McKinley National Park,GA,None,9,0,0.00%
1103,Alaskan,Alaska,IYS,Wasilla,Wasilla,GA,None,8,17,-52.94%
1151,Alaskan,Alaska,57A,Tokeen,Tokeen,GA,None,5,2,150.00%
1159,Alaskan,Alaska,FLT,Flat,Flat,GA,None,5,0,0.00%
1164,Alaskan,Alaska,JLA,Cooper Landing,Quartz Creek,GA,None,5,0,0.00%
1177,Alaskan,Alaska,8KA,Tatitna,Tatitna,GA,None,4,0,0.00%
1188,Alaskan,Alaska,ENN,Nenana,Nenana Municipal,GA,None,4,26,-84.62%
1264,Alaskan,Alaska,6AK,Rainy Pass,Rainy Pass Lodge,GA,None,2,0,0.00%
1297,Alaskan,Alaska,KKL,Karluk Lake,Karluk Lake,GA,None,2,0,0.00%
1319,Alaskan,Alaska,SVW,Sparrevohn,Sparrevohn LRRS,GA,None,2,0,0.00%
1326,Alaskan,Alaska,37AK,Big Mountain Radio Relay Site (U.S. Air Force),Big Mountain,GA,None,1,0,0.00%
1329,Alaskan,Alaska,78K,Yes Bay,Yes Bay Lodge,GA,None,1,0,0.00%
1350,Alaskan,Alaska,KKU,Ekuk,Ekuk,GA,None,1,0,0.00%
82,Southern,Alabama,BHM,Birmingham,Birmingham-Shuttlesworth International,P,S,1333967,1304467,2.26%
122,Southern,Alabama,HSV,Huntsville,Huntsville International-Carl T Jones Field,P,S,519003,527801,-1.67%
162,Southern,Alabama,MOB,Mobile,Mobile Regional,P,N,288222,288209,0.00%
199,Southern,Alabama,MGM,Montgomery,Montgomery Regional (Dannelly Field),P,N,152773,173210,-11.80%
282,Southern,Alabama,DHN,Dothan,Dothan Regional,P,N,47304,49411,-4.26%
439,Southern,Alabama,MSL,Muscle Shoals,Northwest Alabama Regional,CS,None,6490,5295,22.57%
563,Southern,Alabama,TCL,Tuscaloosa,Tuscaloosa Regional,GA,None,2388,2081,14.75%
654,Southern,Alabama,BFM,Mobile,Mobile Downtown,GA,None,947,1152,-17.80%
666,Southern,Alabama,ANB,Anniston,Anniston Regional,GA,None,834,1396,-40.26%
754,Southern,Alabama,AUO,Auburn,Auburn University Regional,GA,None,310,591,-47.55%
912,Southern,Alabama,JKA,Gulf Shores,Jack Edwards National,GA,None,39,7,457.14%
970,Southern,Alabama,09A,Butler,Butler-Choctaw County,GA,None,23,0,0.00%
1036,Southern,Alabama,DCU,Decatur,Pryor Field Regional,GA,None,14,6,133.33%
1155,Southern,Alabama,CQF,Fairhope,H. L. (Sonny) Callahan,GA,None,5,2,150.00%
1301,Southern,Alabama,MDQ,Huntsville,Huntsville Executive Airport Tom Sharp Jr Field,GA,None,2,8,-75.00%
91,Southwest,Arkansas,LIT,Little Rock,Bill and Hillary Clinton National/Adams Field,P,S,979530,958824,2.16%
104,Southwest,Arkansas,XNA,Bentonville,Northwest Arkansas Regional,P,S,698257,673810,3.63%
245,Southwest,Arkansas,FSM,Fort Smith,Fort Smith Regional,P,N,85726,83920,2.15%
305,Southwest,Arkansas,TXK,Texarkana,Texarkana Regional-Webb Field,P,N,34101,33565,1.60%
476,Southwest,Arkansas,JBR,Jonesboro,Jonesboro Municipal,CS,None,4785,4593,4.18%
484,Southwest,Arkansas,HRO,Harrison,Boone County,CS,None,4371,1178,271.05%
545,Southwest,Arkansas,HOT,Hot Springs,Memorial Field,CS,None,2654,1603,65.56%
610,Southwest,Arkansas,ELD,El Dorado,South Arkansas Regional at Goodwin Field,GA,None,1475,2544,-42.02%
733,Southwest,Arkansas,FYV,Fayetteville,Drake Field,GA,None,382,1190,-67.90%
945,Southwest,Arkansas,ROG,Rogers,Rogers Executive - Carter Field,GA,None,29,26,11.54%
1127,Southwest,Arkansas,ASG,Springdale,Springdale Municipal,GA,None,6,0,0.00%
1171,Southwest,Arkansas,RUE,Russellville,Russellville Regional,GA,None,5,5,0.00%
1220,Southwest,Arkansas,ADF,Arkadelphia,Dexter B Florence Memorial Field,GA,None,3,0,0.00%
1225,Southwest,Arkansas,BPK,Mountain Home,Baxter County,GA,None,3,0,0.00%
1247,Southwest,Arkansas,SRC,Searcy,Searcy Municipal,GA,None,3,0,0.00%
1314,Southwest,Arkansas,SGT,Ulm,Stuttgart Municipal Carl Humphrey Field,GA,None,2,0,0.00%
1327,Southwest,Arkansas,3M9,Warren,Warren Municipal,GA,None,1,0,0.00%
1330,Southwest,Arkansas,7M5,Ozark,Ozark-Franklin County,GA,None,1,0,0.00%
1337,Southwest,Arkansas,BVX,Batesville,Batesville Regional,GA,None,1,0,0.00%
